Code,Date,Stock,StockLongName,Open,Close,PriceChange1,PctChange1,Volume,NumShares,20d_ret
0242,2022-04-01,PPJACK,PAPPAJACK BERHAD,0.39,0.395,0.09500000000000003,0.3166666666666669,202302400,668000000.0,0.7666666666666677
0243,2022-04-18,CENGILD,CENGILD MEDICAL BERHAD,0.495,0.465,0.135,0.40909090909090917,162809100,818800000.0,0.2575757575757578
0245,2022-04-28,MNHLDG,MN HOLDINGS BERHAD,0.26,0.235,0.024999999999999994,0.11904761904761907,212548900,408750000.0,-1.1102230246251565e-16
0246,2022-05-24,CNERGEN,CNERGENZ BERHAD,0.605,0.58,0.0,0.0,109865900,498000000.0,0.06034482758620663
0247,2022-06-14,UNITRAD,UNITRADE INDUSTRIES BERHAD,0.265,0.3,-0.020000000000000018,-0.0625,246856800,1562500000.0,-0.20312499999999967
0248,2022-06-07,YEWLEE,YEW LEE PACIFIC GROUP BERHAD,0.285,0.29,0.009999999999999953,0.03571428571428559,162380500,532435600.0,-0.14285714285714324
0249,2022-06-08,LGMS,LGMS BERHAD,0.6,0.845,0.345,0.69,246997500,456000000.0,0.43000000000000016
0250,2022-06-23,YXPM,YX PRECIOUS METALS BHD,0.28,0.27,-0.010000000000000009,-0.0357142857142857,143162800,372150000.0,-0.3214285714285715
0251,2022-06-20,SFPTECH,SFP TECH HOLDINGS BERHAD,0.6,0.67,0.37000000000000005,1.2333333333333334,328982700,800000000.0,1.0333333333333337
0252,2022-07-05,ORGABIO,ORGABIO HOLDINGS BERHAD,0.36,0.34,0.030000000000000027,0.09677419354838723,101977600,247868000.0,-0.0806451612903224
0253,2022-07-13,INFOTEC,INFOLINE TEC GROUP BERHAD,0.33,0.305,-0.015000000000000013,-0.046875,114936700,363229120.0,0.078125
0255,2022-07-18,EIB,ECOSCIENCE INTERNATIONAL BERHAD,0.29,0.26,-0.03999999999999998,-0.1333333333333333,66785500,340000000.0,-0.05000000000000038
0256,2022-07-26,UMC,UMEDIC GROUP BERHAD,0.5,0.44,0.12,0.375,123482200,373910000.0,0.6093749999999996
